Dataset,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
AEL,0.9975,0.869,0.905,0.921,0.957,0.903,0.941,0.6895,0.6725,0.6815,0.5675,1.0,0.495,0.538,0.7575,0.7635
Drain,0.9,0.6045,0.918,0.9625,0.472,0.41,0.828,0.708,0.046,0.1595,0.267,0.0,0.0025,0.925,0.1215,0.409
IPLoM,1.0,0.954,0.92,0.9615,0.939,0.829,0.663,0.563,0.6715,0.7115,0.8215,1.0,0.5165,0.54,0.3305,0.6705
Lenma,0.9975,0.885,0.8835,0.8405,0.6895,0.8295,0.943,0.5655,0.701,0.8795,0.174,1.0,0.508,0.925,0.7425,0.698
LKE,1.0,0.6695,0.002,0.8545,0.6455,0.0,0.8125,0.9895,0.5185,0.9105,0.017,1.0,0.495,0.4255,0.787,0.3685
LogMine,0.8505,0.8695,0.5755,0.6875,0.7245,0.784,0.9185,0.9925,0.6115,0.504,0.6865,1.0,0.5165,0.4305,0.743,0.876
MoLFI,0.9975,0.715,0.2885,0.839,0.955,0.8535,0.651,0.4065,0.2885,0.784,0.4385,1.0,0.0,0.5415,0.213,0.642
SHISO,0.9975,0.867,0.906,0.66,0.711,0.3245,0.576,0.7005,0.6715,0.585,0.397,1.0,0.5165,0.619,0.7215,0.595
Spell,1.0,0.7775,0.905,0.9635,0.7865,0.654,0.8435,0.9885,0.605,0.9185,0.639,1.0,0.5265,0.554,0.764,0.7565
Parser,0.9845,0.9975,0.9965,0.9895,0.986,0.756,0.9355,0.693,0.138,0.452,0.2585,1.0,0.01,0.4285,0.4915,0.6705