,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
AEL,0.9999843025834023,0.9958686627045192,0.9910182216313443,0.9952911126969061,0.9995538256610276,0.9922063548183789,0.9991296174489843,0.9992805654894948,0.9923496299795308,0.9404111521124653,0.8639688564266107,1.0,0.7863358633559475,0.9872122479230966,0.9860420922402556,0.9621125529482956
Drain,0.989947956097619,0.882713164839762,0.9918717292061018,0.9994803450876515,0.31030409340696985,0.7113119526425412,0.9936614974983754,0.9002595618964162,0.8087185656856128,0.698518876518868,0.7149036258667563,0.6672008058799994,0.4681031377783427,0.9989891211923261,0.6841279263402267,0.8457003048291353
IPLoM,1.0,0.9963769063487625,0.9918756043483781,0.9994619403259629,0.9991097099989784,0.9783789519425594,0.998711013628273,0.9945888449095746,0.9641178132475879,0.9490986028781758,0.9581096219873069,1.0,0.7863975508554076,0.9975877585130958,0.909057015631718,0.9571845493562231
Lenma,0.9999843025834023,0.9965386570637523,0.9890733289715452,0.9984175939596773,0.9393688022111542,0.9808242887161006,0.9997080477530601,0.9945944818524067,0.9951053682000928,0.9921517811300458,0.39398393596103054,1.0,0.7497231044676168,0.9989891211923261,0.9944270987004636,0.958653288583528
LKE,1.0,0.8674060725150131,0.22618302010343494,0.9944067451879518,0.9429011154176767,0.1766372411125888,0.9821642039903352,0.9999044803380931,0.9258963994135638,0.9920971745705186,0.19347498622940498,1.0,0.8133938871464091,0.9363995213452064,0.9357665093243164,0.34880174918726087
LogMine,0.9988397207490074,0.995530019226376,0.8411961256190458,0.9854018516660094,0.9700378187909953,0.9757520462268767,0.9987747361313833,0.9999871852971091,0.9389516348545242,0.893388429752066,0.9176645278709402,1.0,0.7191245676702387,0.7758745206765866,0.9941082472340478,0.9815444642024758
MoLFI,0.9999843025834023,0.8913867737444547,0.498377953175042,0.9533074679169354,0.9995212632159752,0.9817770842825762,0.9986463008829856,0.912282388907307,0.7309795923936977,0.9770766516511965,0.7942289126333224,1.0,0.7426062817645156,0.9975932194111691,0.7267893338193389,0.9335725833673849
SHISO,0.9999843025834023,0.9975130047864069,0.9915255066018122,0.9933372846840572,0.9944497190718967,0.5413360738826676,0.9111845460079675,0.9129826942997308,0.9754565458995387,0.8437014243568187,0.8424706541337706,1.0,0.7796400497796313,0.9976392857925933,0.9936968598661957,0.9598450840595018
Spell,1.0,0.9201974522987065,0.9910182216313443,0.9995492201047833,0.9569324088655535,0.986062949437915,0.994456266375956,0.9999743703254969,0.9368218112331945,0.992196250753911,0.8866740494647471,1.0,0.8320437283059741,0.9180378945061868,0.994108234166919,0.9634721334691974
Parser,0.9999091520250013,0.9999843025834023,0.9999783365204907,0.9998366723486286,0.9999334572219202,0.9907140701023754,0.9997081352822749,0.999288710283899,0.644453444081812,0.7273981196801766,0.5109023813372058,1.0,0.7473679987937957,0.9584710118874374,0.9156993393689286,0.8566468625132818